# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 24 03:51:20 2026
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
#
kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_impact,koi_impact_err1,koi_impact_err2,koi_prad,koi_prad_err1,koi_prad_err2
K03872.01,,FALSE POSITIVE,FALSE POSITIVE,1.2250,0.9640,-0.1610,30.38,1.035e+01,-3.440e+00
K03873.01,,FALSE POSITIVE,FALSE POSITIVE,0.0030,0.0470,-0.0030,54.17,1.591e+01,-8.560e+00
K02076.02,Kepler-1085 b,CONFIRMED,CANDIDATE,0.2440,0.0780,-0.2440,6.11,1.520e+00,-6.500e-01
K03640.01,,FALSE POSITIVE,FALSE POSITIVE,1.0010,0.0220,-0.0200,19.17,5.210e+00,-3.470e+00
K03641.01,,FALSE POSITIVE,FALSE POSITIVE,0.9360,0.0930,-0.0460,33.24,5.850e+00,-3.590e+00
K03641.02,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K03642.01,,FALSE POSITIVE,FALSE POSITIVE,1.0030,0.1700,-0.1270,37.56,5.910e+00,-2.510e+00
K03643.01,,FALSE POSITIVE,FALSE POSITIVE,0.7330,0.0540,-0.0330,40.37,1.146e+01,-5.290e+00
K03644.01,,FALSE POSITIVE,FALSE POSITIVE,0.8950,0.0220,-0.0290,165.15,3.336e+01,-7.778e+01
K03644.02,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K03720.01,,FALSE POSITIVE,FALSE POSITIVE,0.9810,0.0460,-0.0300,35.20,7.380e+00,-9.020e+00
K03721.01,,FALSE POSITIVE,FALSE POSITIVE,1.2870,51.8700,-0.2540,51.44,1.555e+01,-1.034e+01
K03722.01,,CANDIDATE,CANDIDATE,,,,,,
K03723.01,,FALSE POSITIVE,FALSE POSITIVE,0.8360,0.0040,-0.0050,458.02,1.792e+02,-1.195e+02
K03724.01,,FALSE POSITIVE,FALSE POSITIVE,0.6340,0.0320,-0.0550,19.96,5.560e+00,-5.570e+00
K03798.01,,FALSE POSITIVE,FALSE POSITIVE,0.9500,0.0020,-0.0020,3.94,8.500e-01,-5.800e-01
K03799.01,,FALSE POSITIVE,FALSE POSITIVE,0.8970,0.0040,-0.0050,7.08,9.400e-01,-8.600e-01
K07807.01,,FALSE POSITIVE,FALSE POSITIVE,0.0680,0.4180,-0.0680,0.50,1.000e-01,-8.000e-02
K03800.01,,FALSE POSITIVE,FALSE POSITIVE,25.2240,10.3300,-0.0130,26042.90,9.456e+03,-1.156e+04
K03801.01,,CANDIDATE,CANDIDATE,0.5250,0.0620,-0.3580,13.21,2.070e+00,-2.300e+00
K03802.01,,FALSE POSITIVE,FALSE POSITIVE,1.2470,0.1980,-0.0880,34.34,1.067e+01,-4.270e+00
K03874.01,,FALSE POSITIVE,FALSE POSITIVE,0.8240,0.0470,-0.5750,4.28,1.240e+00,-7.700e-01
K03875.01,,FALSE POSITIVE,FALSE POSITIVE,1.2060,70.6100,-0.0330,39.46,1.110e+01,-1.668e+01
K07786.01,,FALSE POSITIVE,FALSE POSITIVE,0.4670,0.5220,-0.2550,1.26,2.800e-01,-7.000e-01
K03876.01,Kepler-1928 b,CONFIRMED,CANDIDATE,0.6940,0.0070,-0.5090,1.96,2.700e-01,-9.000e-02
K03877.01,,FALSE POSITIVE,FALSE POSITIVE,1.1590,0.6530,-0.0670,15.70,3.970e+00,-1.320e+00
K03878.01,Kepler-1524 b,CONFIRMED,CANDIDATE,0.5450,0.0350,-0.4190,2.84,4.200e-01,-1.500e-01
K03645.01,,FALSE POSITIVE,FALSE POSITIVE,0.4690,0.0060,-0.0070,51.69,0.000e+00,0.000e+00
K03646.01,,FALSE POSITIVE,FALSE POSITIVE,1.0730,0.0290,-0.0270,45.93,1.335e+01,-4.460e+00
K03647.01,,FALSE POSITIVE,FALSE POSITIVE,5.4990,29.5600,-0.8440,601.32,1.904e+02,-8.797e+01
K07791.01,,CANDIDATE,CANDIDATE,0.0270,0.4290,-0.0270,231.85,1.394e+01,-4.179e+01
K01922.03,Kepler-1016 c,CONFIRMED,CANDIDATE,0.3710,0.0590,-0.3710,4.22,6.600e-01,-5.500e-01
K03648.01,,FALSE POSITIVE,FALSE POSITIVE,0.1700,0.0380,-0.0660,47.58,1.483e+01,-6.360e+00
K03649.01,,FALSE POSITIVE,FALSE POSITIVE,0.9280,0.0270,-0.0220,73.29,2.095e+01,-1.714e+01
K00416.03,,CANDIDATE,CANDIDATE,0.6580,0.2950,-0.4340,0.78,6.000e-02,-3.000e-02
K02004.02,Kepler-1047 c,CONFIRMED,CANDIDATE,0.5260,0.4290,-0.3110,0.98,1.500e-01,-1.300e-01
K07798.01,,CANDIDATE,CANDIDATE,0.5690,0.0010,-0.4820,2.15,7.300e-01,-2.400e-01
K03725.01,,FALSE POSITIVE,FALSE POSITIVE,1.2950,2.6160,-0.0080,450.76,5.632e+01,-1.803e+02
K03726.01,,FALSE POSITIVE,FALSE POSITIVE,0.0280,0.2830,-0.0280,13.66,5.700e-01,-1.250e+00
K03727.01,,FALSE POSITIVE,FALSE POSITIVE,1.2127,0.1008,-0.0702,29.19,4.240e+00,-2.370e+00
K03803.01,,FALSE POSITIVE,FALSE POSITIVE,1.2140,30.2800,-0.1760,163.25,1.315e+01,-2.630e+01
K03804.01,,FALSE POSITIVE,FALSE POSITIVE,1.3730,39.0300,-1.2380,52.91,1.451e+01,-9.680e+00
K02039.02,Kepler-1067 b,CONFIRMED,CANDIDATE,0.3990,0.0520,-0.3990,0.75,1.100e-01,-4.000e-02
K03805.01,,FALSE POSITIVE,FALSE POSITIVE,1.2640,66.2100,-0.0050,539.16,1.118e+02,-1.678e+02
K03806.01,,FALSE POSITIVE,FALSE POSITIVE,0.8920,0.0070,-0.0170,4.49,8.200e-01,-5.500e-01
K03879.01,,FALSE POSITIVE,FALSE POSITIVE,1.2700,0.1500,-0.1000,37.79,1.167e+01,-5.010e+00
K03880.01,,CANDIDATE,CANDIDATE,0.4050,0.0670,-0.4050,1.00,3.000e-01,-1.700e-01
K03881.01,,FALSE POSITIVE,FALSE POSITIVE,1.0871,1.2430,-0.3132,39.34,6.010e+00,-3.730e+00
K03882.01,,FALSE POSITIVE,FALSE POSITIVE,1.3292,0.2668,-0.2371,49.67,2.407e+01,-7.570e+00
K03883.01,,FALSE POSITIVE,FALSE POSITIVE,0.4890,0.0340,-0.0320,60.62,1.467e+01,-7.900e+00
K03650.01,,FALSE POSITIVE,FALSE POSITIVE,5.2500,36.6200,-0.0780,268.75,2.075e+01,-2.075e+01
K03651.01,,FALSE POSITIVE,FALSE POSITIVE,0.7500,0.0670,-0.0510,59.66,0.000e+00,0.000e+00
K03652.01,,FALSE POSITIVE,FALSE POSITIVE,1.0660,0.1100,-0.0790,70.73,1.899e+01,-2.534e+01
K03653.01,,FALSE POSITIVE,FALSE POSITIVE,0.7430,0.0120,-0.0130,162.67,6.221e+01,-1.155e+02
K03654.01,,FALSE POSITIVE,FALSE POSITIVE,0.9650,0.2610,-0.1290,71.11,2.047e+01,-1.487e+01
K03655.01,,FALSE POSITIVE,FALSE POSITIVE,0.6420,0.0200,-0.0200,64.69,0.000e+00,0.000e+00
K03728.01,Kepler-1517 b,CONFIRMED,CANDIDATE,0.9020,0.0130,-0.6290,22.27,2.200e+00,-1.250e+01
K03729.01,,FALSE POSITIVE,FALSE POSITIVE,0.9580,1.3670,-0.0430,12.01,2.870e+00,-1.030e+00
K03729.02,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K03730.01,,FALSE POSITIVE,FALSE POSITIVE,0.7730,0.1100,-0.0810,138.76,0.000e+00,0.000e+00
K03731.01,,FALSE POSITIVE,FALSE POSITIVE,1.2690,0.2670,-0.1750,28.73,3.170e+00,-1.930e+00
K07799.01,,FALSE POSITIVE,FALSE POSITIVE,0.6460,0.1020,-0.2420,5.08,1.200e+00,-2.400e+00
K03732.01,,FALSE POSITIVE,FALSE POSITIVE,1.2820,0.1200,-0.0840,52.05,1.582e+01,-5.290e+00
K03807.01,,FALSE POSITIVE,FALSE POSITIVE,0.6810,0.0170,-0.0170,145.36,2.952e+01,-5.479e+01
K03808.01,,FALSE POSITIVE,FALSE POSITIVE,0.6370,0.0070,-0.0090,34.32,1.038e+01,-1.926e+01
K03809.01,,FALSE POSITIVE,FALSE POSITIVE,1.2120,1.4400,-0.1330,29.78,9.060e+00,-4.170e+00
K03810.01,,CANDIDATE,CANDIDATE,1.1610,10.5400,-0.0210,18.59,1.340e+00,-1.480e+00
K03811.01,,CANDIDATE,CANDIDATE,0.9350,5.6810,-0.0290,11.58,1.840e+00,-2.250e+00
K02078.02,Kepler-1086 c,CONFIRMED,CANDIDATE,0.0010,0.5110,-0.0010,2.88,1.200e-01,-1.300e-01
K03884.01,,FALSE POSITIVE,FALSE POSITIVE,1.2070,5.8120,-0.0380,19.01,3.980e+00,-1.410e+00
K03885.01,,FALSE POSITIVE,FALSE POSITIVE,1.1930,11.5600,-0.0400,26.10,8.340e+00,-2.980e+00
K03886.01,,FALSE POSITIVE,FALSE POSITIVE,0.9350,0.0040,-0.0130,43.67,7.250e+00,-1.088e+01
K07787.01,,FALSE POSITIVE,FALSE POSITIVE,0.1640,0.2960,-0.1640,0.64,1.500e-01,-6.000e-02
K03887.01,,FALSE POSITIVE,FALSE POSITIVE,1.2270,3.0200,-0.1500,27.25,8.590e+00,-3.680e+00
K03656.01,,FALSE POSITIVE,FALSE POSITIVE,0.8510,0.0860,-0.0690,155.81,5.644e+01,-1.048e+02
K03657.01,,FALSE POSITIVE,FALSE POSITIVE,1.2850,0.5510,-0.3030,115.26,0.000e+00,0.000e+00
K01932.02,Kepler-340 b,CONFIRMED,CANDIDATE,0.1490,0.3160,-0.1490,2.49,4.400e-01,-5.400e-01
K03658.01,,FALSE POSITIVE,FALSE POSITIVE,1.1980,24.6400,-0.0270,27.09,1.300e+00,-1.940e+00
K03659.01,,FALSE POSITIVE,FALSE POSITIVE,0.3340,0.0100,-0.0180,38.63,1.150e+01,-4.940e+00
K03660.01,,FALSE POSITIVE,FALSE POSITIVE,1.0360,4.3460,-0.3390,38.79,9.360e+00,-3.130e+00
K03733.01,,FALSE POSITIVE,FALSE POSITIVE,0.8150,0.5960,-0.1940,57.21,0.000e+00,0.000e+00
K02004.03,,CANDIDATE,CANDIDATE,0.7670,0.0330,-0.5440,0.70,1.100e-01,-9.000e-02
K03734.01,,FALSE POSITIVE,FALSE POSITIVE,4.6760,1.5380,-0.5420,995.22,1.886e+02,-3.501e+02
K03735.01,,FALSE POSITIVE,FALSE POSITIVE,0.7860,0.3020,-0.1750,68.48,1.941e+01,-1.589e+01
K03736.01,,FALSE POSITIVE,FALSE POSITIVE,0.9660,0.9110,-0.1090,25.76,5.120e+00,-2.770e+00
K03737.01,,FALSE POSITIVE,FALSE POSITIVE,1.2580,60.1200,-0.1180,57.51,1.257e+01,-1.884e+01
K03812.01,,FALSE POSITIVE,FALSE POSITIVE,1.2620,0.3550,-0.2020,41.19,1.436e+01,-5.740e+00
K03813.01,,FALSE POSITIVE,FALSE POSITIVE,0.9320,0.0050,-0.0090,6.90,2.230e+00,-9.600e-01
K03814.01,,FALSE POSITIVE,FALSE POSITIVE,0.8810,0.0210,-0.6140,32.26,1.113e+01,-2.226e+01
K02048.02,,FALSE POSITIVE,FALSE POSITIVE,11.6846,1.5160,-10.4500,576.14,3.044e+01,-3.162e+01
K03815.01,,CANDIDATE,CANDIDATE,0.8510,0.0910,-0.6160,7.27,2.470e+00,-8.200e-01
K03888.01,,FALSE POSITIVE,FALSE POSITIVE,1.1930,2.5390,-0.0390,18.16,2.080e+00,-2.080e+00
K03889.01,,FALSE POSITIVE,FALSE POSITIVE,0.9740,6.6650,-0.0180,3.16,9.200e-01,-3.100e-01
K03890.01,,FALSE POSITIVE,FALSE POSITIVE,0.4090,0.0410,-0.3650,34.85,1.920e+00,-7.720e+00
K03891.01,,CANDIDATE,CANDIDATE,1.2300,6.9230,-0.6050,78.98,3.094e+01,-5.745e+01
K03892.01,Kepler-1525 b,CONFIRMED,CANDIDATE,0.0350,0.4060,-0.0350,0.92,1.500e-01,-6.000e-02
K03661.01,,FALSE POSITIVE,FALSE POSITIVE,1.2680,0.1510,-0.0970,33.14,5.970e+00,-4.340e+00
K03662.01,,FALSE POSITIVE,FALSE POSITIVE,0.7950,0.0720,-0.0580,62.41,1.929e+01,-1.039e+01
K03663.01,Kepler-86 b,CONFIRMED,CANDIDATE,0.2480,0.0500,-0.0750,8.98,1.310e+00,-4.700e-01
K03664.01,,FALSE POSITIVE,FALSE POSITIVE,0.4410,0.0030,-0.0040,148.25,4.394e+01,-2.364e+01
K03665.01,,FALSE POSITIVE,FALSE POSITIVE,0.6920,0.0130,-0.0110,33.30,0.000e+00,0.000e+00
K03666.01,,FALSE POSITIVE,FALSE POSITIVE,1.5220,0.2420,-0.1550,219.02,9.252e+01,-1.387e+02
K03738.01,,FALSE POSITIVE,FALSE POSITIVE,6.2860,25.8500,-0.3590,679.44,0.000e+00,0.000e+00
K03739.01,,FALSE POSITIVE,FALSE POSITIVE,0.5110,0.0110,-0.0140,300.82,8.048e+01,-1.611e+02
K03740.01,,FALSE POSITIVE,FALSE POSITIVE,1.4390,0.0520,-0.0500,112.77,3.589e+01,-1.197e+01
K03741.01,,FALSE POSITIVE,FALSE POSITIVE,3.6510,0.7030,-0.0630,395.94,1.125e+02,-9.214e+01
K03741.02,,CANDIDATE,CANDIDATE,0.1050,0.3520,-0.1050,1.36,3.800e-01,-3.200e-01
K03742.01,,FALSE POSITIVE,FALSE POSITIVE,0.8460,0.0460,-0.0370,68.92,2.019e+01,-8.630e+00
K01776.01,,FALSE POSITIVE,FALSE POSITIVE,1.2730,9.9410,-0.2120,26.20,1.870e+00,-2.560e+00
K01792.01,Kepler-953 b,CONFIRMED,CANDIDATE,0.5350,0.0560,-0.1980,4.55,7.300e-01,-4.500e-01
K02027.01,,FALSE POSITIVE,FALSE POSITIVE,0.6770,0.2290,-0.4470,1.23,2.100e-01,-1.700e-01
K07848.01,,FALSE POSITIVE,FALSE POSITIVE,0.0210,0.4280,-0.0210,2.60,7.700e-01,-2.400e-01
K01859.01,,FALSE POSITIVE,FALSE POSITIVE,1.2350,67.6400,-0.2050,21.23,3.710e+00,-1.320e+00
K01953.01,,FALSE POSITIVE,FALSE POSITIVE,0.2280,0.2370,-0.2280,2.09,6.300e-01,-4.200e-01
K02088.01,,FALSE POSITIVE,FALSE POSITIVE,1.1950,0.4460,-0.1050,25.55,8.260e+00,-2.770e+00
K02089.01,,FALSE POSITIVE,FALSE POSITIVE,1.2120,72.8000,-2.4420,25.39,8.130e+00,-2.700e+00
K02112.01,,FALSE POSITIVE,FALSE POSITIVE,0.1210,0.3380,-0.1210,1.17,4.100e-01,-1.700e-01
K02118.01,,FALSE POSITIVE,FALSE POSITIVE,0.5700,0.0590,-0.4470,1.22,3.600e-01,-3.200e-01
K02127.01,,FALSE POSITIVE,FALSE POSITIVE,0.2860,0.1640,-0.2860,1.72,4.400e-01,-1.500e-01
K01312.02,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K01408.02,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K03964.01,,FALSE POSITIVE,FALSE POSITIVE,0.6230,0.0700,-0.0620,36.87,2.930e+00,-2.620e+00
K03965.01,,FALSE POSITIVE,FALSE POSITIVE,1.2220,,,21.34,8.900e-01,-1.520e+00
K03966.01,Kepler-1535 b,CONFIRMED,CANDIDATE,0.1950,0.2450,-0.1950,2.57,4.100e-01,-2.800e-01
K03967.01,,FALSE POSITIVE,FALSE POSITIVE,0.9670,0.0330,-0.0490,2.64,6.700e-01,-2.200e-01
K03967.02,,FALSE POSITIVE,FALSE POSITIVE,0.9710,0.0520,-0.0900,2.39,6.100e-01,-2.000e-01
K03968.01,,FALSE POSITIVE,FALSE POSITIVE,0.5560,0.0400,-0.4550,0.80,1.700e-01,-1.400e-01
K01666.01,,CANDIDATE,CANDIDATE,0.0550,0.4000,-0.0550,1.78,5.100e-01,-1.800e-01
K01667.01,,FALSE POSITIVE,FALSE POSITIVE,1.2440,0.4220,-0.1040,120.02,2.878e+01,-4.316e+01
K01668.01,,FALSE POSITIVE,FALSE POSITIVE,1.2510,69.6000,-1.5380,26.09,7.880e+00,-2.470e+00
K01670.01,,CANDIDATE,CANDIDATE,0.4040,0.0520,-0.4040,2.03,6.100e-01,-2.600e-01
K01671.01,Kepler-1763 b,CONFIRMED,CANDIDATE,0.0580,0.3920,-0.0580,0.97,1.600e-01,-1.700e-01
K01782.01,,FALSE POSITIVE,FALSE POSITIVE,0.9550,0.1740,-0.0440,16.62,3.740e+00,-1.600e+00
K01821.01,Kepler-963 b,CONFIRMED,CANDIDATE,0.0220,0.4290,-0.0220,2.85,7.300e-01,-4.600e-01
K01844.01,,FALSE POSITIVE,FALSE POSITIVE,0.9200,0.0100,-0.0090,4.57,3.900e-01,-3.600e-01
K07849.01,,CANDIDATE,CANDIDATE,0.1850,0.2790,-0.1850,0.84,2.300e-01,-1.200e-01
K01993.01,,FALSE POSITIVE,FALSE POSITIVE,1.2090,72.3300,-0.4580,18.01,2.090e+00,-1.710e+00
K01865.01,,FALSE POSITIVE,FALSE POSITIVE,1.2000,2.2390,-0.1880,77.99,9.830e+00,-2.948e+01
K02320.01,,FALSE POSITIVE,FALSE POSITIVE,0.1020,0.3640,-0.1020,0.82,2.000e-01,-7.000e-02
K02322.01,,FALSE POSITIVE,FALSE POSITIVE,0.1296,0.3117,-0.1296,2.55,1.300e+00,-2.900e-01
K02326.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K02330.01,,FALSE POSITIVE,FALSE POSITIVE,0.6890,0.2410,-0.4610,1.22,2.700e-01,-1.500e-01
K02334.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K02349.01,,FALSE POSITIVE,FALSE POSITIVE,0.2999,0.1486,-0.2998,1.36,5.200e-01,-1.100e-01
K02359.01,,FALSE POSITIVE,FALSE POSITIVE,0.0300,0.4260,-0.0300,1.27,1.700e-01,-1.000e-01
K02158.02,,CANDIDATE,CANDIDATE,0.8920,0.0050,-0.6220,2.09,3.900e-01,-7.200e-01
K03969.01,,FALSE POSITIVE,FALSE POSITIVE,0.6890,0.0640,-0.4980,1.84,5.000e-01,-2.200e-01
K03970.01,,FALSE POSITIVE,FALSE POSITIVE,0.6770,0.3230,-0.4130,0.95,3.000e-02,-5.000e-02
K03971.01,,FALSE POSITIVE,FALSE POSITIVE,0.8353,0.0650,-0.5800,2.87,1.120e+00,-2.800e-01
K03972.01,,FALSE POSITIVE,FALSE POSITIVE,1.1810,0.1800,-0.0930,21.45,7.190e+00,-1.920e+00
K01673.01,,FALSE POSITIVE,FALSE POSITIVE,0.5220,0.0290,-0.4430,1.53,4.800e-01,-2.000e-01
K01674.01,,FALSE POSITIVE,FALSE POSITIVE,1.1070,18.0100,-0.1020,13.55,3.580e+00,-2.910e+00
K01676.01,,FALSE POSITIVE,FALSE POSITIVE,0.6020,0.1160,-0.4180,3.87,4.600e-01,-1.050e+00
K01678.01,,FALSE POSITIVE,FALSE POSITIVE,0.6770,0.0090,-0.0100,37.22,6.160e+00,-9.240e+00
K07837.01,,FALSE POSITIVE,FALSE POSITIVE,0.9440,0.0230,-0.6990,2.06,6.700e-01,-2.300e-01
K01679.01,,FALSE POSITIVE,FALSE POSITIVE,1.2380,0.2500,-0.0990,29.02,8.540e+00,-3.680e+00
K01785.01,,FALSE POSITIVE,FALSE POSITIVE,0.0750,0.3710,-0.0750,9.82,2.870e+00,-1.550e+00
K01954.01,,FALSE POSITIVE,FALSE POSITIVE,1.1040,6.2340,-0.1030,13.73,2.730e+00,-1.820e+00
K01742.01,,FALSE POSITIVE,FALSE POSITIVE,0.4180,0.0310,-0.0010,19.58,6.010e+00,-2.580e+00
K01806.01,,FALSE POSITIVE,FALSE POSITIVE,0.9700,0.0010,-0.0010,4.69,1.080e+00,-1.330e+00
K07850.01,,CANDIDATE,CANDIDATE,0.2560,0.2030,-0.2560,3.00,8.500e-01,-3.400e-01
K01745.01,,CANDIDATE,CANDIDATE,1.2780,1.5730,-0.1200,29.95,4.760e+00,-2.790e+00
K01795.01,,FALSE POSITIVE,FALSE POSITIVE,1.2070,43.4100,-2.3220,24.74,1.190e+00,-2.150e+00
K02362.01,,FALSE POSITIVE,FALSE POSITIVE,0.3740,0.0950,-0.3740,1.75,2.000e-01,-1.600e-01
K02391.01,,FALSE POSITIVE,FALSE POSITIVE,1.1880,0.1040,-0.1800,18.29,3.990e+00,-1.590e+00
K02394.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K02396.01,,FALSE POSITIVE,FALSE POSITIVE,0.0090,0.4200,-0.0090,1.57,3.900e-01,-1.700e-01
K02446.01,,FALSE POSITIVE,FALSE POSITIVE,0.7650,0.0580,-0.5360,2.74,4.500e-01,-9.800e-01
K00439.02,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K02480.01,,CANDIDATE,CANDIDATE,0.8560,0.0060,-0.5970,1.49,1.200e-01,-1.600e-01
K03973.01,,FALSE POSITIVE,FALSE POSITIVE,0.9680,,,8.13,2.250e+00,-9.000e-01
K03974.01,,FALSE POSITIVE,FALSE POSITIVE,0.4410,0.0410,-0.0160,37.47,4.030e+00,-5.590e+00
K03975.01,Kepler-1536 b,CONFIRMED,CANDIDATE,0.8750,0.0140,-0.6140,2.89,2.000e-01,-2.900e-01
K03976.01,,FALSE POSITIVE,FALSE POSITIVE,1.2580,0.4600,-0.0850,29.70,8.500e+00,-2.840e+00
K03977.01,,FALSE POSITIVE,FALSE POSITIVE,1.2380,0.2290,-0.1380,41.08,1.217e+01,-4.070e+00
K01682.01,,FALSE POSITIVE,FALSE POSITIVE,1.6227,0.3625,-0.4132,234.99,1.221e+02,-6.159e+01
K01689.01,,FALSE POSITIVE,FALSE POSITIVE,1.2920,2.1160,-0.1300,31.77,3.070e+00,-2.760e+00
K01690.01,,FALSE POSITIVE,FALSE POSITIVE,0.5280,0.4260,-0.3170,1.08,2.600e-01,-1.400e-01
K07838.01,,FALSE POSITIVE,FALSE POSITIVE,0.0400,0.4200,-0.0390,0.52,7.000e-02,-5.000e-02
K01691.01,,FALSE POSITIVE,FALSE POSITIVE,1.2760,53.0900,-0.1130,32.50,5.930e+00,-3.200e+00
K01694.01,,FALSE POSITIVE,FALSE POSITIVE,1.1510,43.0600,-0.0870,20.23,6.410e+00,-2.740e+00
K01846.01,Kepler-976 b,CONFIRMED,CANDIDATE,0.3220,0.0830,-0.3220,3.79,5.800e-01,-3.100e-01
K01966.01,,FALSE POSITIVE,FALSE POSITIVE,0.4080,0.0540,-0.4080,0.81,2.100e-01,-1.000e-01
K01796.01,,FALSE POSITIVE,FALSE POSITIVE,1.0150,0.5040,-0.0510,18.48,4.960e+00,-9.200e+00
K07851.01,,FALSE POSITIVE,FALSE POSITIVE,0.7420,0.0050,-0.5510,1.43,4.100e-01,-4.100e-01
K01957.01,,CANDIDATE,CANDIDATE,1.1150,1.2780,-0.0890,29.33,7.000e+00,-5.250e+00
K01827.01,,FALSE POSITIVE,FALSE POSITIVE,0.0120,0.2660,-0.0120,155.18,5.200e+00,-2.776e+01
K01823.01,,FALSE POSITIVE,FALSE POSITIVE,1.2070,64.5300,-0.0010,24.81,7.200e+00,-2.390e+00
K02500.01,,FALSE POSITIVE,FALSE POSITIVE,0.7280,0.3080,-0.7280,1.48,4.100e-01,-4.100e-01
K02502.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K02515.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K02568.01,,FALSE POSITIVE,FALSE POSITIVE,0.2820,0.1830,-0.2820,1.32,3.900e-01,-1.200e-01
K02570.01,,FALSE POSITIVE,FALSE POSITIVE,0.6230,0.0460,-0.4790,1.81,1.500e-01,-1.900e-01
K02575.01,,FALSE POSITIVE,FALSE POSITIVE,0.6890,0.0222,-0.5332,1.64,7.200e-01,-1.200e-01
K02584.01,,FALSE POSITIVE,FALSE POSITIVE,0.1495,0.3117,-0.1495,1.59,8.400e-01,-2.200e-01
K03978.01,,FALSE POSITIVE,FALSE POSITIVE,1.1880,0.4650,-0.1870,22.63,6.310e+00,-2.250e+00
K02162.02,Kepler-1126 c,CONFIRMED,CANDIDATE,0.0460,0.4200,-0.0460,1.45,1.800e-01,-1.800e-01
K03979.01,,FALSE POSITIVE,FALSE POSITIVE,0.7410,0.2130,-0.4550,1.36,3.900e-01,-2.000e-01
K03980.01,,FALSE POSITIVE,FALSE POSITIVE,0.9500,0.0470,-0.6920,2.40,6.800e-01,-3.600e-01
K03981.01,,FALSE POSITIVE,FALSE POSITIVE,1.1870,1.9980,-0.2240,20.11,5.710e+00,-1.910e+00
K01695.01,Kepler-930 b,CONFIRMED,CANDIDATE,0.0170,0.4270,-0.0170,2.19,6.400e-01,-6.300e-01
K01696.01,,FALSE POSITIVE,FALSE POSITIVE,0.7410,0.4820,-0.7400,1.38,4.500e-01,-2.000e-01
K07839.01,,FALSE POSITIVE,FALSE POSITIVE,0.4140,0.0560,-0.4140,0.68,4.000e-02,-6.000e-02
K01697.01,,FALSE POSITIVE,FALSE POSITIVE,0.3460,0.0820,-0.3450,1.06,9.000e-02,-9.000e-02
K01698.01,,FALSE POSITIVE,FALSE POSITIVE,0.6300,0.0420,-0.4690,1.03,1.400e-01,-1.200e-01
K01699.01,,FALSE POSITIVE,FALSE POSITIVE,0.7610,0.0070,-0.5010,1.70,3.400e-01,-3.200e-01
K01981.01,Kepler-1037 b,CONFIRMED,CANDIDATE,0.4660,0.0050,-0.4590,1.61,4.100e-01,-2.500e-01
K01926.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,
K01896.01,,FALSE POSITIVE,FALSE POSITIVE,1.2790,1.2310,-0.1170,29.39,6.030e+00,-2.160e+00
K07852.01,,FALSE POSITIVE,FALSE POSITIVE,0.4250,0.0290,-0.4250,0.90,2.600e-01,-8.000e-02
K01763.01,,FALSE POSITIVE,FALSE POSITIVE,0.4890,0.3930,-0.4890,1.33,1.300e-01,-1.400e-01
K01807.01,,FALSE POSITIVE,FALSE POSITIVE,0.6060,0.0210,-0.0350,75.08,1.013e+01,-2.363e+01
K01999.01,,FALSE POSITIVE,FALSE POSITIVE,1.1820,4.9890,-0.0130,89.35,2.939e+01,-4.408e+01
K02653.01,,FALSE POSITIVE,FALSE POSITIVE,0.4730,0.0660,-0.4160,1.57,3.700e-01,-1.700e-01
K02661.01,,FALSE POSITIVE,FALSE POSITIVE,0.1471,0.3348,-0.1471,5.18,2.140e+00,-2.210e+00
K07817.01,,FALSE POSITIVE,FALSE POSITIVE,0.3220,0.1600,-0.3220,0.46,5.000e-02,-2.000e-02
K02663.01,Kepler-1867 b,CONFIRMED,CANDIDATE,0.3830,0.0690,-0.3830,0.68,1.700e-01,-6.000e-02
K02728.01,Kepler-1326 b,CONFIRMED,CANDIDATE,0.6590,0.2760,-0.4410,6.30,1.130e+00,-2.090e+00
K02742.01,Kepler-1331 b,CONFIRMED,CANDIDATE,0.3760,0.0830,-0.3760,0.91,6.000e-02,-9.000e-02
